127,Species,Gender,Colour,Different legs?,Leg colour,Missing track,Organic,Name tag,Flippy shirt
118,Rabbit,M,Mint green,N,,Sound,Throw,Practical,Y
122,Cat,F,Ice blue,N,,Trap,Throw,Fancy,N
105,Cat,F,Coral,N,,Toon-up,Throw,Fancy,N
134,Dog,M,Bright red,N,,Drop,Sound,Toonfest,N
137,Mouse,M,Lavender,Y,Royal blue,Drop,Sound,Practical,N
106,Cat,F,Bright red,N,,Drop,Throw,Fancy,Y
103,Deer,M,Apricot,N,,Drop,Sound,Poetic,N
103,Dog,F,Royal blue,N,,Trap,Throw,None,N
114,Dog,F,Bright red,N,,Sound,Lure,None,N
95,Dog,M,Aqua,N,,Trap,None,None,N
113,Deer,F,Slate blue,N,,Drop,Lure,None,N
114,Dog,F,Aqua,N,,Sound,Lure,None,N
79,Deer,F,Crimson,N,,Trap,Drop,None??,N
125,Dog,M,Toonfest blue,N,,Drop,Throw,Nautical,N
104,Rabbit,F,Beige,N,,Drop,None,None,N
119,Dog,M,Spooky purple,N,,Drop,Trap,Toonfest,N
95,Cat,M,Steel blue,N,,Trap,Throw,Shivering,N
114,Bear,M,Orange,N,,Trap,Throw,Poetic,N
75,Cat,F,Periwinkle,N,,Trap,None,Poetic,N
134,Deer,M,Steel blue,N,,Trap,Throw,Silly,N
105,Cat,M,Emerald,N,,Drop,None,Poetic,N
126,Dog,M,Periwinkle,N,,Toon-up,Trap,Poetic,N
111,Horse,M,Maroon,N,,Lure,Sound,Shivering,N
83,Crocodile,M,Slate blue,N,,Trap,None,None,N
128,Mouse,M,Toonfest blue,N,,Drop,Throw,Wonky,N
123,Deer,M,Spooky purple,N,,Trap,None,Spooky,N
132,Cat,M,Royal blue,Y,Cream,Lure,Sound,Action,N
101,Cat,M,Steel blue,N,,Trap,None,Member,N
117,Cat,M,Bright red,Y,Aqua,Drop,Throw,None,N
83,Cat,M,Green,N,,Trap,None,None,N
112,Cat,F,Ice blue,N,,Drop,Sound,Poetic,N
107,Rabbit,M,Beige,N,,Trap,Throw,None,N
110,Cat,F,Black,N,,Toon-up,None,Spooky,N
106,Cat,F,Lime green,N,,Trap,None,Wonky,N
76,Mouse,F,Ice blue,N,,Drop,None,Poetic,N
114,Cat,F,Coral,N,,Toon-up,Throw,Shivering,N
72,Cat,F,Black,N,,Trap,Throw,None,N
103,Cat,F,Aqua,N,,Lure,Throw,Spooky,N
119,Cat,M,Mint green,N,,Trap,Throw,Western,N
104,Monkey,F,Toonfest pink,N,,Trap,Throw,None,N
100,Rabbit,F,Ice blue,N,,Trap,Lure,Poetic,N
104,Mouse,F,Yellow,N,,Trap,Throw,Boardwalk,N
75,Mouse,M,Crimson,N,,Drop,Throw,None,N
116,Crocodile,F,Cream,N,,Trap,Throw,Wonky,Y
122,Duck,M,Aqua,N,,Trap,None,Spooky,N
115,Pig,M,Purple,Y,Coral,Trap,None,Western,N
109,Cat,M,Amber,N,,Drop,Throw,Shivering,N
107,Deer,M,Beige,Y,Purple,Drop,Sound,Poetic,Y
137,Bear,F,Ice blue,N,,Trap,Throw,None,N
115,Deer,F,Royal blue,N,,Lure,Drop,Poetic,N
114,Rabbit,F,Crimson,N,,Trap,Throw,Action,N
102,Cat,F,Black,N,,Drop,None,Poetic,N
126,Crocodile,M,Steel blue,N,,Trap,Sound,Poetic,Y
102,Deer,M,Green,Y,Sea green,Sound,Lure,None,N
92,Rabbit,F,Teal,N,,Drop,None,None,N
125,Dog,F,Aqua,Y,Purple,Trap,Squirt,Poetic,N
105,Duck,F,Teal,N,,Trap,None,Poetic,N
99,Deer,F,Bright red,N,,Trap,None,None,N
99,Cat,F,Ice blue,N,,Drop,None,None,N
105,Bear,F,Mint green,N,,Trap,None,None,N
127,Cat,M,Dark green,Y,Crimson,Drop,Sound,Poetic,N
112,Mouse,M,Blue,N,,Drop,None,Poetic,N
104,Duck,F,Bright red,N,,Trap,None,Poetic,N
123,Cat,M,Crimson,N,,Trap,Lure,Poetic,N
103,Cat,F,Purple,N,,Drop,Throw,Boardwalk,N
106,Cat,F,Black,N,,Drop,Sound,Whimsical,N
106,Mouse,F,Mint green,N,,Drop,Throw,Silly,N
115,Mouse,F,Beige,N,,Lure,Throw,Whimsical,N
77,Crocodile,M,Blue,N,,Trap,Drop,None,N
117,Duck,F,Yellow,N,,Trap,Throw,Spooky,N
109,Duck,F,Lavender,N,,Trap,Throw,Silly,N
123,Duck,M,Cream,Y,Ice blue,Drop,None,Fancy,N
125,Deer,M,Spooky purple,N,,Drop,Trap,None,N
114,Monkey,F,Green,Y,Royal blue,Sound,Trap,Boardwalk,N
100,Deer,F,Periwinkle,Y,Royal blue,Drop,None,Poetic,N
91,Cat,F,Apricot,N,,Trap,None,None,N
119,Mouse,F,Beige,Y,Rose pink,Drop,Sound,Wonky,N
109,Rabbit,F,Toonfest pink,N,,Drop,Throw,Toonfest,N
129,Horse,F,Toonfest pink,N,,Trap,Sound,Poetic,N
119,Bear,M,Beige,N,,Drop,Trap,Poetic,N
136,Dog,M,Royal blue,N,,Toon-up,Throw,None,Y
129,Cat,F,Beige,N,,Drop,Throw,Spooky,N
118,Cat,F,Toonfest blue,N,,Drop,Throw,Fancy,Y
137,Horse,M,Purple,Y,Brown,Toon-up,Sound,Poetic,N
97,Cat,M,Orange,Y,Tan,Trap,None,Silly,N
101,Deer,F,Crimson,Y,Bright red,Trap,None,Boardwalk,N
121,Rabbit,F,Aqua,N,,Trap,None,Poetic,N
101,Cat,F,Periwinkle,N,,Drop,None,Poetic,N
94,Mouse,F,Ice blue,N,,Trap,None,None,N
96,Cat,F,Yellow,N,,Trap,Throw,Shivering,N
104,Monkey,M,Crimson,N,,Toon-up,Sound,None,N
112,Cat,F,Dark green,N,,Drop,Lure,Wonky,N
118,Dog,F,Spooky purple,N,,Trap,Throw,Whimsical,N
104,Monkey,M,Steel blue,N,,Drop,Throw,None,N
69,Cat,M,Steel blue,N,,Trap,None,Poetic,N
80,Cat,F,Black,N,,Drop,Throw,None,N
115,Dog,F,Periwinkle,N,,Lure,Throw,Shivering,N
111,Cat,M,Black,N,,Drop,Throw,None,N
102,Pig,M,Coral,N,,Drop,Sound,None,N
109,Mouse,M,Crimson,Y,Steel blue,Trap,Lure,Wonky,N
110,Cat,F,Royal blue,N,,Trap,Drop,Poetic,N
116,Mouse,M,Spooky purple,N,,Drop,Sound,Spooky,N
83,Crocodile,M,Royal blue,Y,Teal,Trap,None,None,N
133,Cat,F,Lavender,Y,Purple,Toon-up,None,Fancy,Y
131,Cat,F,Bright red,Y,Blue,Trap,Sound,Silly,Y
133,Cat,F,Yellow,Y,Rose pink,Trap,None,Fancy,Y
137,Duck,F,Light blue,Y,Orange,Trap,Drop,Zany,Y
103,Crocodile,F,Rose pink,N,,Drop,None,Shivering,N
85,Cat,F,Coral,N,,Trap,None,Poetic,N
100,Duck,F,Cream,N,,Trap,None,None,N
127,Rabbit,M,Tan,N,,Trap,Throw,Zany,N
105,Mouse,F,Lavender,N,,Trap,None,Poetic,N
113,Duck,F,Peach,N,,Trap,Throw,None,N
114,Mouse,F,Perwinkle,N,,Trap,None,Poetic,N
93,Monkey,M,Crimson,Y,Beige,Drop,Lure,None,N
94,Dog,F,Beige,N,,Trap,Lure,Wonky,N
101,Rabbit,F,Ice blue,N,,Drop,None,Silly,N
123,Cat,F,Black,N,,Trap,Throw,Spooky,N
91,Cat,F,Black,N,,Drop,Throw,Poetic,N
112,Dog,F,Steel blue,N,,Trap,None,Poetic,N
119,Dog,M,Steel blue,N,,Drop,Sound,Wonky,N
95,Duck,F,Lavender,N,,Trap,Throw,None,N
75,Horse,F,Amber,Y,Blue,Drop,Squirt,None,N
118,Deer,F,Coral,N,,Drop,Throw,Spooky,N
101,Mouse,M,Sea green,N,,Drop,None,Shivering,N
116,Dog,M,Yellow,N,,Trap,None,Boardwalk,N
84,Deer,F,Pink,N,,Toon-up,None,Toonfest,N
107,Cat,F,Crimson,N,,Trap,None,Poetic,N
105,Mouse,F,Light blue,Y,Green,Lure,Throw,Spooky,N
105,Deer,F,Brown,N,,Trap,None,None,N
109,Deer,F,Red,N,,Toon-up,Throw,Shivering,N
64,Duck,F,Steel blue,Y,Beige,Drop,Squirt,Wonky,Y
100,Cat,F,Ice blue,N,,Trap,Throw,None,N
107,Cat,F,Black,N,,Toon-up,Sound,Spooky,Y
72,Cat,M,Cream,Y,Aqua,Drop,Throw,Poetic,Y
106,Deer,F,Tan,N,,Drop,Throw,None,N
111,Duck,F,Peach,Y,Light blue,Drop,Lure,None,N
76,Dog,F,Peach,N,,Drop,Throw,None,N
95,Deer,M,Crimson,N,,Lure,None,None,N
79,Deer,F,Steel blue,N,,Trap,None,Member,N
63,Cat,F,Blue,N,,Lure,None,Shivering,N
82,Deer,F,Ice blue,N,,Drop,None,None,N
99,Mouse,F,Aqua,Y,Light blue,Trap,Lure,None,N
93,Mouse,F,Blue,Y,Aqua,Trap,None,None,N
119,Dog,M,Bright red,N,,Trap,Throw,None,N
93,Cat,F,Apricot,N,,Trap,None,None,N
130,Cat,M,Brown,N,,Drop,Trap,Western,N
110,Pig,M,Sea green,N,,Drop,Throw,None,N
118,Cat,F,Cream,Y,Rose pink,Toon-up,Throw,Poetic,N
80,Cat,M,Toonfest pink,N,,Trap,None,Western,N
69,Pig,F,Tan,N,,Trap,None,None,N
120,Duck,M,Blue,N,,Drop,Trap,Zany,N
117,Cat,F,Cream,N,,Toon-up,Throw,Poetic,N
90,Duck,M,Purple,Y,Bright red,Drop,Lure,Nautical,N
111,Rabbit,F,Ice blue,N,,Trap,Throw,Member,N
102,Crocodile,F,Beige,N,,Sound,Throw,Spooky,N
117,Rabbit,F,Crimson,N,,Sound,Drop,Boardwalk,N
110,Crocodile,F,Lime green,N,,Drop,Sound,Poetic,N
76,Crocodile,M,Lime green,N,,Drop,Sound,Wonky,N
120,Dog,M,Bright red,N,,Trap,None,Spooky,N
137,Cat,F,Spooky purple,N,,Trap,Sound,Boardwalk,N
121,Cat,F,Light blue,N,,Trap,None,Zany,N
102,Mouse,F,Beige,N,,Drop,Throw,None,N
117,Dog,M,Toonfest pink,N,,Trap,None,Wonky,N
110,Duck,M,Yellow,N,,Trap,None,Silly,N
110,Crocodile,F,Rose pink,N,,Trap,Drop,Poetic,Y
78,Rabbit,F,Slate blue,Y,Periwinkle,Drop,None,Shivering,N
80,Crocodile,M,Teal,N,,Drop,Lure,None,N
112,Rabbit,F,Aqua,N,,Drop,Lure,Shivering,N
109,Cat,F,Emerald,N,,Drop,Lure,Poetic,N
107,Duck,F,Maroon,N,,Trap,Throw,Poetic,N
104,Cat,M,Orange,N,,Trap,None,None,N
118,Rabbit,F,Slate blue,N,,Lure,Drop,Shivering,N
108,Dog,M,Light blue,Y,Aqua,Sound,Lure,Shivering ,N
101,Dog,M,Steel blue,Y,Ice blue,Trap,None,Boardwalk,N
102,Horse,M,Amber,N,,Trap,None,None,N
112,Cat,F,Brown,N,,Trap,Throw,Silly,N
115,Dog,F,Red,N,,Drop,Throw,Wonky,Y
106,Crocodile,M,Toonfest pink,N,,Toon-up,None,Western,N
116,Duck,M,Amber,N,,Trap,Throw,Boardwalk,N
73,Cat,M,Black,N,,Drop,None,None,N
112,Cat,F,Spooky purple,N,,Trap,Throw,Silly,Y
106,Mouse,F,Blue,N,,Trap,Drop,None,N
80,Deer,M,Coral,Y,Brown,Trap,Throw,Shivering,N
63,Deer,F,Spooky purple,N,,Drop,Toon-up,None,N
116,Duck,M,Toonfest blue,N,,Lure,Trap,Member,N
118,Cat,F,Black,N,,Trap,Lure,None,N
103,Rabbit,F,Emerald,N,,Drop,None,Whimsical,N
104,Bear,F,White,N,,Trap,Toon-up,None,N
109,Mouse,F,Ice blue,N,,Drop,None,Whimsical,N
101,Dog,F,Light blue,N,,Trap,None,None,N
76,Bear,M,Perwinkle,Y,Apricot,Trap,None,Toonfest,N
105,Dog,M,Toonfest blue,N,,Drop,None,Member,N
108,Duck,F,Amber,N,,Trap,Sound,Member,N
117,Cat,M,Steel blue,N,,Drop,Trap,Silly,N
86,Dog,F,Crimson,N,,Trap,Throw,Member,N
137,Dog,M,Crimson,Y,Dark green,Trap,Sound,Silly,N
89,Cat,M,Ice blue,N,,Trap,None,None,N
110,Duck,M,Yellow,N,,Trap,Lure,Spooky,N
113,Monkey,M,Crimson,N,,Toon-up,None,None,N
85,Duck,M,Aqua,N,,Trap,Lure,Poetic,N
85,Deer,F,Maroon,N,,Drop,Throw,None,N
77,Cat,F,Pink,N,,Trap,None,Poetic,N
108,Mouse,M,Steel blue,N,,Drop,Lure,Shivering,N
104,Deer,F,Teal,N,,Trap,Throw,Shivering,N
115,Duck,F,Cream,N,,Drop,Lure,Shivering,N
130,Cat,M,Bright red,N,,Drop,None,None,N
84,Monkey,M,Purple,N,,Trap,None,Member,N
103,Y,F,Green,N,,Trap,Throw,Wonky,N
116,Mouse,F,Aqua,N,,Trap,None,Wonky,N
103,Cat,F,Orange,N,,Drop,Throw,Poetic,N
110,Cat,F,Pink,N,,Trap,Lure,None,N
78,Mouse,F,Purple,N,,Drop,None,Poetic,N
83,Mouse,F,Slate blue,N,,Lure,None,Shivering,N
129,Mouse,M,Bright red,N,,Drop,Trap,None,N
64,Horse,F,Rose pink,Y,Pink,Sound,None,Action,Y
97,Mouse,M,Orange,N,,Drop,Throw,Shivering,N
123,Cat,F,Pink,N,,Drop,Sound,Spooky,N
110,Cat,F,Maroon,N,,Drop,Throw,Practical,N
134,Mouse,M,Bright red,N,,Trap,Throw,Boardwalk,N
116,Horse,M,Tan,Y,Apricot,Lure,Throw,Toonfest,N
102,Deer,F,Apricot,Y,Coral,Drop,Throw,None,N
104,Mouse,M,Periwinkle,N,,Trap,Lure,Spooky,N
106,Deer,F,Crimson,N,,Drop,Sound,None,N
109,Deer,M,Toonfest blue,N,,Trap,None,None,N
105,Mouse,M,Bright red,N,,Drop,None,None,N
113,Cat,F,Toonfest pink,N,,Trap,Throw,Spooky,N
76,Dog,F,Pink,N,,Trap,None,None,N
107,Crocodile,F,Aqua,N,,Trap,Throw,Boardwalk,N
85,Cat,F,Slate blue,N,,Trap,None,Poetic,N
102,Monkey,F,Steel blue,N,,Trap,None,None,N
112,Rabbit,M,Blue,N,,Trap,Lure,Shivering,N
108,Mouse,M,Aqua,N,,Drop,None,Silly,N
65,Deer,F,Mint green,Y,Steel blue,Trap,None,Shivering,N
103,Rabbit,F,Aqua,N,,Trap,None,Poetic,N
68,Duck,F,Maroon,N,,Toon-up,Drop,Member,N
113,Cat,F,Steel blue,N,,Trap,Throw,Zany,N
78,Duck,M,Amber,N,,Drop,None,None,N
65,Monkey,M,Teal,N,,Drop,None,Member,N
83,Dog,M,Bright red,N,,Drop,Trap,None,N
114,Dog,M,Crimson,N,,Drop,Sound,Nautical,N
103,Dog,F,Lavender,N,,Lure,Drop,Member,N
115,Mouse,M,Periwinkle,N,,Drop,Throw,Spooky,N
84,Mouse,F,Periwinkle,N,,Drop,Lure,None,N
133,Cat,F,Crimson,N,,Drop,Throw,Zany,N
64,Cat,F,Crimson,N,,Toon-up,Sound,None,N
108,Mouse,F,Coral,N,,Trap,Throw,Poetic,N
104,Rabbit,M,Toonfest pink,N,,Toon-up,None,Spooky,N
110,Dog,M,Aqua,N,,Trap,Lure,Shivering,N
120,Bear,M,Ice blue,N,,Drop,Trap,Action,N
74,Duck,F,Yellow,N,,Toon-up,Throw,Poetic,N
118,Cat,M,Cream,N,,Drop,Throw,Fancy,Y
134,Cat,F,Peach,N,,Drop,Throw,Fancy,N
96,Deer,M,Cream,N,,Drop,Toon-up,Shivering,N
105,Cat,F,Black,N,,Drop,Throw,Fancy,Y
66,Cat,M,Mint green,N,,Trap,None,None,N
117,Pig,F,Toonfest blue,N,,Trap,Sound,None,N
107,Cat,F,Tan,N,,Trap,Lure,Whimsical,N
132,Cat,F,Black,N,,Drop,Trap,None,Y
132,Cat,M,Black,N,,Trap,Throw,Spooky,N
108,Cat,F,Black,N,,Trap,Lure,Whimsical,N
125,Duck,M,Purple,N,,Drop,Squirt,Practical,N
118,Dog,F,Coral,N,,Trap,Throw,Poetic,N
108,Dog,M,Light blue,N,,Trap,None,Shivering,N
66,Dog,F,Slate blue,N,,Trap,None,Poetic,N
103,Deer,M,Purple,Y,Aqua,Drop,Throw,Boardwalk,Y
105,Duck,F,Mint green,N,,Toon-up,Throw,Whimsical,N
93,Deer,F,Periwinkle,N,,Drop,None,None,N
